SongTitle,Lyrics,hasVideo,Annotations,ReleaseDate,Album,lang,WordLength
Bad Husband,never saw side eye eye eye eye lie lie fight flight much baggage need luggage rack carry public spat feud back news love tap dis like fun actually use run back booth jump back studio give tongue lash laugh stomach tat tombstone funny back youth knew actually fraction truth could spun back would many thing different dumbass excuse hit would use continue pattern abuse punch back girl dad scumbag confuse come lord loser come come liar good father good dad bad husband good father great dad bad husband beat love writer block line hot forgot laugh little cry lot never forget come home held hailie day go jail daily wait mail lady phone mom call watch pull decide givin try despite lightning rod sky get dark shiny rock tiny box tie knot broke knot every line cross suppose every time fought insult thrown far word mean word meant thought shoulda letter write coulda read maybe woulda lead good instead put bed lyin still sittin askin come lord loser come come liar good father good dad bad husband good father great dad bad husband forever hero eye always another side good father great dad bad husband brought bad someone make spar end love hat wan na see side sorry kim could ever comprehend leavin harder saw body limb upon time maybe drew u true love never knew possible might love much maybe make u screw ups always thought love thinkin love time thought work til saw wrong dust settle dirt touch rawest nerve want u hurt exhaustive search find word heard mockingbird urge jot verse thought purpose stir open wound argue whose fault partly partly mine really tough gettin choked suck broke back together thought forever bad people bad together nut backstabbed another blow struck duckin blow closure sure close know people good thing whole nother wonder come come lord loser come come liar good father good dad bad husband good father great dad bad husband forever hero eye always another side good father great dad bad husband,False,14,2017-12-15,Revival,en,1933
Going Through Changes,go change go change lately really feel like rollin delf like philly feel like losin control sincerely apologize sound like complainin life keep complicatin debatin leavin world evenin even girl see grievin try hide act like high mighty inside dyin finally realizin need help weak two week havin ups goin peak valley dilly dallyin round idea endin right hatin reflection walk around house tryna fight mirror stand look like look fat care give thing fear hailie afraid close eye might see go change go change lock bedroom bathroom nappin noon dad bad mood always snappin marshall happen stop pill fall skill fan laughin become problem tackle get man stand real man woulda handle know heart ripped crush proof flip homie whip bust nah like doody shoot nobody fight first dwellin make night bad poppin vics percs methadone pill em tight verse kill drug dealer hang around like yes men gon whatever best interest protect investment lose best friend guess know gon na keep go change friend understand new understandable man think banana animal trap fame cage like zoo everybody lookin want startin live like recluse truth fame startin give excuse time low sit alone home theater watchin damn dvd first tour last tour still alive hurt fast forward sleep pill make feel alright still awake middle night take couple right slowin almost homeward bound almost coma homie come dole em daddy die daddy well hold ground know sound voice hold know gon na keep go change wake hospital full tube somehow pullin swear come back bulletproof proof think state fact may get chance truth hit would make think thing would never never get make right come hailie whitney alaina still love mother never change think every day could never get together hey wish well way swear everything anything day many thing explain rain guess pours yes wish pain pretend placin blame pointin finger heaven know never saint know feel like away history today look picture almost miss subconsciously wish end way get away know know else guess know gon na keep go change,True,21,2010-06-18,Recovery,en,2026
Cinderella Man,know technically even really suppose right might well make ha ha feel good woo guess lucky u get second chance blowin nah man ha ha feel like anything catch lightning bottle set fire water comin nozzle fire hose flyer swatter cinderella man cinderella man cinderella man cinderella man smash hourglass grab sand take hand cup em spit rhyme freeze clock take hand time cuff em cinderella man cinderella man cinderella man cinderella man storm comin weatherman predict start bug prick well flee get ticked wrap kick back punch ground tricked trap last cd trash goddamned another rapper get hit gas spit every rap last die blink eye bat eyelash keep winkin blowin kiss flirtin death destroyin livelihood hurtin rep catch flow get goin remorse showin slowin knowin nothin zero target like marksman target shut lane take spot park arsenic flow lighter fluid saliva go get crew hype stand behind like woo boy hot enough melt hell burn satan fry put ash back together glue hate blame frankly would game could ill afford lose bout guess clue come ball wife beater lose nike shoe psyche name cinderella man cinderella man cinderella cinderella man cinderella man time machine cinderella man cinderella man cinderella man cinderella man cinderella man music time machine call cinderella man cinderella man cinderella man cinderella man catchin lightning struck scream shut thunder flip world upside make rain upward cinderella man cinderella man cinderella man cinderella man rewound future present pause ask past right cinderella man cinderella man cinderella man cinderella man cinderella man cinderfella shady dane come wrap game cellophane raise hell hell come come bore cinderella story come old afford lame day age stage game mediocrity longer allow fly bye old h new que ser consider last hurrah coup de gr ce raise em high sky keep em time bring place alive thanks bein patient make mistake potato bake homie veggie plate fly filet smokin weed faggot stake high even pose grace god skin teeth hair nut skate thin ice ankle weight hate lie irritated much face fear proof spirit spittin image mirror stand near lyric hear form pyramid rap circle around square lyricist clue come ball wife beater lose nike shoe psyche name cinderella man cinderella man cinderella cinderella man cinderella man time machine cinderella man cinderella man cinderella man cinderella man music time machine call cinderella man cinderella man cinderella man cinderella man,True,20,2010-06-18,Recovery,en,2446
We Made You,guess miss jessica simpson sing chorus walk door clear adore come see rock star everybody want player really blame make ahem back popular demand pop little zantac antacid ready tackle task hand feel fantastic grand well look massive mass stand shady man massacre fan damn think kim kardashian man stomp ask put hand massive gluteus maximus squeeze squish pa friend come back nasty yes ask mean lesbian offend lindsay please come back see men samantha practically know want girl fact see grin come girl walk door clear adore come see rock star everybody want player really blame make enforcer look woman torture walk cutest girl charley horse sorry portia ellen degeneres tell tenderness well gentle smooth gentleman give ventolin inhaler two xenadrine invite sarah palin dinner nail hello little friend brit forget k fed cut middleman forget gon na end hospital time ritalin binge forget men girl pay little attention little mention jennifer love john mayer sit bench man swear guy give em inch take mile style slim walk door clear adore come see rock star everybody want player really blame make love never live without know want girl see check know know want try deny damn girl begin sprout alfalfa wash filthy mouth think bad hear rest album never finesse nostalgia man cash mean mess gal jessica alba put breast mouth wowzers make mess trouser wonder keep dress like elvis lord help u back pink alf shirt look like someone shrink outfit think bout flip jessica rest assure superman rescue ya blame amy blake matter fact bake birthday cake saw blade make jailbreak think met soulmate break girl walk door clear adore come see rock star everybody want player really blame make get get get get get get get get get get amy rehab never look good wait go back ha ha woo dr dre,True,23,2009-04-07,Relapse,en,1774
ShadyXV,liable start violent spark silent thought disgust like dialogue shop wire frog night club taught cd fire put like highland park fire department might hear siren alarmed sound something right dog martyr private charter whose life could harder widely regard highly bite sweetheart slightly retard tonight startin feel self righteous might hop mosh pit mike tyson pac lookin box anybody disorderly conduct around snort key pick fight locksmith fan lox banana manic go shock frantic trap closet panic attack claustrophobic faggot mean maneuver movement room improvement practically squash compact boxed toxic arsenic flammable bar examine content bar exam start insanity charles hamilton slash manson bronson animal snarl cannibal jaw shark mandible lamb slaughter look skantless hannibal stalk anthony hopkins hand pocket black zach galifianakis gallon vodka gal knocker bet cha ring bell come back conscious happen doc pas alcohol make break vacant naked steal magnavox bag rock back datsun fell asleep watch fear factor scare tactic close stairmaster poked hole air mattress popped woke shortly thereafter hungover underwear grasp bayer aspirin drop air max closet preposterous nike make ostrich cross stitch cross mix rhinoceros possum skin giraffe dolphin fin cotton docker oshkoshes drop crotch swatch watch sneaker match parka like overstaffed boxing gym trainer boxer stand naked hangover still waste like paper write rap obnoxious yo always sound like grab nostril battle em battle mall stand yell wall til mannequin doll scatter inanimate object batter shatter fall hear track start get amped spark plug like car cable hooked back duracell sure hell backwards get jumped catch battery charge hunch like back arch start attack squadron feel like mastercard charge take swipe come straight like clay matthew green bay packer get sack like wisconsin nutbag talk kid faggot gon na bidding get drag auction neiman marcus bag vuitton push oncoming traffic watch stretch tint black sedan see mad act drop saks fifth ave taxi cab go shopping affable guy next door laughable next gon na mechanical arm jack lotion dispenser motion sensor emotion hence guess sick prick dy hard magic johnson like magic wand allows blonde arouse ronda rousey couch condom hold thousand magnum pounce laugh response dance flaunt around flat little badonkadonk bounce around see paulie malignaggi slaughterhouse blouse madonna mud god dammit misogynist slap linda ronstadt lobster throw balcony happens fond algae faceplants concrete complete lack responsibility half asshole strong enough pick spirit shoplift thrift shop track lift em boost energy klepto back rip shop thing five finger discount rap long kill easy kidnapping mom still thievery ransom jonben ramsey chandra levy gary condit paul scar go back blonde might relapse get bullshit perhaps launch cracker taunt action bronson macklemore mac miller asher roth back forth record wack response kendrick lamar control verse perform fack concert yo put great hit album awesome take massive ball like sometimes ponder people like put crap long attraction mama fact walk talk actual quadruple entendre pointy nose point mama know point always poke na ah still get along voice monster si sociopath everyone know know know fact rihanna call pinocchio love way lie sits face wait nose grow pathological liar asshole disguise pant fire cappadonna cut track sabotage christmas crap stock wrap present camouflage even find em jack santa claus snap rudolph antler wrap schnoz gauze bandage blind blowing head gasket bed bath beyond put basket back bath salt packet go know really tire sample billy squier classic rock acid rap genre slash guitar splash bizarre thrasher aerosmith spectacular archer feed count dracula chocula godzilla half dragon bob dylan bandwagoners kick damn straggler strangle em smack kim basinger sauna,False,55,2014-11-24,SHADYXV,en,3852
Gnat,sick bar like covid get em right bat infect sars corona like take bite go martian human virus attack come machine gun like try fight gnat still stackin chip hoe high shaq tiptoe atop empire state buildin like child play child anni nihilate kill around pile ight million dead little juvenil wait chill await trial date til nothin ever trump mic pencil get kill hypersensitive referencin vice president chill mean penmanship time tends get ill violence skill hence write end mic pencil gettin kill still ride die squad know side battle line ever drawn get involve like k brawl similar mike vick even dog fight never gon na get rid fight dog stripe like tiger might get maul mic palm like claw swing right jaw rip swipe paw still naw suck wife straw sick gon na cover mouth next time cough bar like covid get em right bat infect sars corona like take bite go martian human virus attack come machine gun like try fight gnat dope sends like pneumonia symptom contract covid instantly separate flow get even close pose risk vocalistically social distance flow go viral best stay strap lysol get way back get pine sol ajax dry cough like football umpire callin playback back like fifteen yard rhyme call face mask nother fourteen day quarantine cordoning everything lookin like horror scene like metaphorically stay home order seem like keep get extreme know nightmare end like monroe norma jean still heroin lyrical drip morphine thorazine dope fiend thing change semblance normalcy might need hydrochloroquine dark horse knight mare mom fed valium like air thought call high chair contact like eyewear woah wait minute lie hindsight side mirror every year drop ball like time square hair trigger whenever get idea like name ring like sponge mop drip drop bucket gun shot heard spot come nine mil big buck full money clip load even mean go still totally inappropriate opiate grope hold like trophy hop little codeine get od woah everything slow begin float know get load pen explode hiroshima flow utopia dope og like g get goat little bit sodium assault podium throat holy camoly zone get imodium commode nobody even close petroleum plutonium phony crib ho pole like voting clothing strip toe ring go gloat nose air like boeing little bit argument take little lick klonopin dinner hit motherfucking ottoman bit shot liver deliver bottom river probably gon jump water wad money lot come drippin soppin like hundred mile hour never runnin either em get ta get bar like covid get em right bat infect sars corona like take bite go martian human virus attack come machine gun like try fight gnat,False,47,2020-12-18,Music to Be Murdered By: Side B,en,2585
Yah Yah,yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah yah bumstickitty bumstickitty bum huh old rum pum pum pum punk jump get beat least sound sound like clown like sound flow place four four waist innovative po po way roll em make bacon call em pig hop word way loss give jfk front lawn mlk crossfire evolve lose diary mob rothschild feel like god broke vial layin inside em like caulk tile man go live land criminal era era era original uh huh survive miracle ah man slaughterhouse check like ice cube wreck like wu tang protect em goin yah yah yah yah yah yah yah yah yah yah yo snappin neck plus live effect slick rick eye patch hex rapper avoid eye contact outta respect god flesh ominous indominus rex like put thought yikes told told twice nice king blood sport mics era beef prolly fist fought sight get beat basketball court spite tell wife put life support ice rap pernell whitaker honorable minister leavin every amateur inoperable finish em makin plaque outta head like dead venison use bad lieutenant illitant spillin fabulous jam man dilla sent rap speak ventriloquist stubborn government govern brother spoke dope cold buzzin never low budget taste medicine come dose break free like chesimard keep em guessin hard broad bar like asmr dog reservoir top five legend live edge darkness light phone call youngins takin flight bark never bite long kiss goodnight stay heat people place need standin stay seat cheat lie like amerigo vespucci miracle still super lyrical live terrordome loud like megaphone thutmose third seven inch herringbone man go live land criminal era era era original uh huh survive miracle ah man slaughterhouse check like ice cube wreck like wu tang protect em goin yah yah yah yah yah yah yah yah yah yah well hope ambulance en route paper hand grenade soon pull pin santa fe mandalay orlando colorado columbine combine walk line run time waste come denaun come thought da dun da dun like shotgun ready em leave stretch like octomom never trouble keepin time adapt climate treat like levi button right adjust fly middle finger put em high call bird put sky like spider crawlin spinal column climbin side asylum wall dive pile tylenol like problem diabolical gynecologist tryna ball fist buy double timing rhyme leave stymie still vilify like bill reilly show mean call harvey weinstein connive mic standout like lime green wife beater knife sight see see ring wear game married already prenup ready see belly barely three month pregnant give name machine gun kelly big l del k solo treach g rap dj polo tony odb moe dee run dmc ed g epmd c ice evil dee king tee utfo schoolly pe bdp yz chi ali rakim eric b like therapy b g paris three time dope never see prt n w eazy e r e like gps without know man go live land criminal era era era original uh huh survive miracle ah man slaughterhouse check like ice cube wreck like wu tang protect em goin yah yah yah yah yah yah yah yah yah yah,False,34,2020-01-17,Music to Be Murdered By,en,2941
Castle,built castle trap throne sorry alone write chapter turn page go hope sing along song want know scar whatever take raise prepared whatever whatever december st dear hailie song come mommy stomach soon well something quick able support barely support long healthy matter time obviously assume think ahead make kill see far take music get sick chase illusion sorry sloppy write pen hand shake please excuse dad little nervous time excite use energy rhyme write passion exact enthusiasm use letter maybe feel try build castle sand girl sit throne plan girl welcome mom dad crazy world love daddy maple flavor kiss butter pancake syrup built castle trap throne sorry alone write chapter turn page go hope sing along song want know scar whatever take raise prepared whatever whatever december st dear hailie momma personality eye beautiful smile ear size mine sorry little minor mishap grow grind little show open mics nighters studio tryna keep light seem like close dream yet far keep steer turn someone slightest clue fall take first step today probably walk soon infinite cd flop many soft tune talk bad dad tick make feel like belong something ooh think might stumble onto something new prediction future hop open envelope old hold true built castle trap throne sorry alone write chapter turn page go hope sing along song want know scar whatever take raise prepared whatever whatever december th dear hailie found letter guess well try explain lot happen since rise fame name always try hide face game crazy want claim love dang never knew like ask none punish thing private mother public stomach take fame back want put last album hundred percent finish fed hang excuse curse know good person though portray cold thing worsen take letter write goodbye note dad end rope slide slippery slope anyways sweetie well go get sleepy love dad know,False,30,2017-12-15,Revival,en,1839
Rock Bottom,ayo song dedicate happy people happy people real nice life idea like broke feel like walkin tight rope without circus net poppin percocet nervous wreck deserve respect work sweat worthless check bout burst tec somebody reverse debt minimum wage adrenaline cage full venom rage specially engage daughter last diaper hyper pray god answer maybe ask nicer watchin ballers flossin pathfinder overnight star becomin autograph signer long blow leave past behind u along small fry average half pinter player hater turnin like see dollar sign cash blind u money brainwash leave yo mindless snake slither grass spineless rock bottom life make mad enough kill rock bottom want somethin bad enough steal rock bottom feel like mad enough scream sad enough tear rock bottom life make mad enough kill rock bottom want somethin bad enough steal rock bottom feel like mad enough scream sad enough tear life full empty promise broken dream hopin thing look job opening feel discourage hungry malnourish livin house furnace unfurnished sick workin dead end job lame pay tire bein hire fire day know rule game play die know goin way cool player suck fan need buck man plus luxury sedan comfortable roomy threw mix gloomy lunatic walk around depressed smoke pound ce day yesterday go quick seem like today daughter want throw ball stress play live half life throw rest away rock bottom life make mad enough kill rock bottom want somethin bad enough steal rock bottom feel like mad enough scream sad enough tear rock bottom life make mad enough kill rock bottom want somethin bad enough steal rock bottom feel like mad enough scream sad enough tear people love people hate evil make backstabbin deceitful shady want money woman fortune fame mean end burnin hell scorchin flame mean stealin checkbook forgin name lifetime bliss eternal torture pain right feel like hit rock bottom problem everybody block em screamin like two cop pac shot em holdin two glocks hope door new lock em daughter foot shoe sock em ring wearin look like rock em flaunt em could takin em shop pawn em couple ring brand new watch want em never go gold song runnin someone lawn gun drawn rock bottom life make mad enough kill rock bottom want somethin bad enough steal rock bottom feel like mad enough scream sad enough tear rock bottom life make mad enough kill rock bottom want somethin bad enough steal rock bottom feel like mad enough scream sad enough tear rock bottom,True,27,1999-02-23,The Slim Shady LP,en,2425
Like Home,shout everybody trip agree feel like someone get aryan sheet time bury tell prepare get impeach everybody foot terrorism heroism meet square street chump barely even sleep watch fox news like parrot repeat look like canary beak think ban transgenders military tweet tryin divide u like cult like johnny unite u nothin inside u drive u like fight similar two car collide spirit crush spot tight jaw life come pull u wreckage get pride star stripe type pickle hard deal always tomorrow still start scratch like scab get scar heal band together charlottesville heather fall hero fill wall mural nevada get hit damn resetter start zero renewal spray tan get rid get brand new well america begin begin land make make land raise place really know crack road drove place like home wan na base ya denounce klan play golf ya stay twitter way get hate nazi see way differ race card bigot swastika name carve trademark hate played lick plate guess pay feed chaos basically ate hitler ruinin country punk takin pride u define u like dictionary thing lookin much sprain neck know would rise train wreck take stand even mean sittin raise flag sing star spangle banner man praise statue general lee generally hate black people degrades hispanic take back shady national convention wish woulda spit go shake hand event maybe wherewithal know gon na try tear apart sacred land cherish stand hand air hear start brand new america without proud begin begin land make make land raise place really know crack road drove place like home give give home many die already know give give home many die already know place like home place like home wherever go place like home place like home place like home wherever go begin begin land make make land raise place really know crack road drove place like home,False,18,2017-12-15,Revival,en,1781
Nowhere Fast,ash blowin air world fire care waste youth always road never lookin back never gettin old sky black heart make gold doin told goin nowhere fast feel sorry beat sympathy pain track road takin back memory lane rap still look crowd wowed take aback simply state fact wembley stadium packed path head nowhere fast another terrorist attack like tariff blow half madison square ala perish blast scar u pa nowhere fearless ash blowin air world fire care waste youth always road never lookin back never gettin old sky black heart make gold doin told goin nowhere fast goin goin goin goin goin goin nowhere run life goin nowhere fast doin told act like two year old soon go kaboom blow anyways mc funeral devisin rhyme awake mourn rise shine like new day dawn gusto gut bravado nut plus kick dust cuss lot musta somewhat debacle stuff awful really mean nothin although lot jest tough swallow time heart seem like wrong place probably sleeve keanu reef speed life avoid veer steer toward lookin forward goin idea nowhere go hysterical gettin warm set world fire born arsonist spark lit still get dark told leave mark war machine force corner sure somethin rear course assault torture get severe go war end blew timbuktu send ten ton nuke like kim jong un end ruinin career end run rewind clock forever young make time stop ever fall day never come til pine box well ever til bomb drop hope never gon na sweat world screw already top everyone ash blowin air world fire care waste youth always road never lookin back never gettin old sky black heart make gold doin told goin nowhere fast goin goin goin goin goin goin nowhere run life goin nowhere fast tell u nothin hard head stubborn ear young young know future u could hold another shooter uh tomorrow ash blowin air world fire care waste youth always road never lookin back never gettin old sky black heart make gold doin told goin nowhere fast goin goin goin goin goin goin nowhere run life goin nowhere fast,False,15,2017-12-15,Revival,en,1951
The Storm (2017 BET Hip-Hop Awards Cypher Verse),calm storm right wait gon na start forgot awfully hot coffee pot drop donald trump probably til come solid plot plan get ta hatch like damn apache tomahawk walk inside mosque ramadan prayer every time talk get mou ahh stop well give obama prop office kamikaze probably nuclear holocaust drama pop wait quiet gas plane fly around til bombing stop intensity heighten tension risin trump come givin stingy except come havin ball go hide em nut like empty asylum racism thing fantastic get rock orange sick tan want u disband withstand fact afraid trump walkin egg shell come stomp keep screamin drain swamp quicksand like take step forward backwards form distraction plus get enormous reaction attack nfl focus stead talkin puerto rico gun reform nevada horrible tragedy bore would rather twitter storm packer want low tax gon na pay extravagant trip back forth fam golf resort mansion torment hillary slander endorsement bannon support klansman tiki torch hand soldier black come home iraq still told go back africa fork dagger racist year old grandpa keep ignorin past historical deplorable factor black athlete spoil little brat tryna use platform stature try give voice spittin face vet fought u bastard unless pow torture batter zero like war hero capture disrespectin military colin ball fist keep ball like donald gon na get rid immigrant gon na build thing taller well build hope rock solid brick like politics usin trick throwin piece wall til stick fan mine supporter draw sand line either decide like split stand beside rest america stand love military love country hate trump,True,28,2017-10-10,BET Hip-Hop Awards 2017 Cyphers,en,1584
Soldier,soldier soldier soldier soldier yo never thug infatuate gun never gangsta til graduate rep villain weapon concealin take image thug kept appealin willin stick neck respect meant life death never live regret people wan na see true rap feel part obligation fulfill see street face face real confrontation conversation feel violation hesitation get kill feel kill conceal reveal reasonable leave full bullet pull squeeze til empty tempt push need good reason give trigger good squeeze shoulder hold much budge never fall fold even collarbone crush crumble never slip stumble shoulder hold much budge never fall fold even collarbone crush crumble never stumble love pissin get like lawyer judge get ta set violate bet lit fuse anything news pistol whippin motherfucking bouncer need bullet soon pull sweat bullet excellent method get rid next bully actually well instead murderin hurt em come back kick dirt em like pourin salt wound assault get sue smell lawsuit soon waltz room everybody halt stop call cop see comin halter top runnin duckin hot rock parking lot get shot whether fault shoulder hold much budge never fall fold even collarbone crush crumble never slip stumble shoulder hold much budge never fall fold even collarbone crush crumble never stumble spit slow kid know talkin em give back damn critic sock em like thug little bit pac influence spew look rockin could never like could even try look stupid pursue ever life try knock truest spit illest ever drop two inch ticky tock listen sound tick clock listen sound kim lick listen sound spillin heart pen know never marshall full controversy retire jersey til fire inside dy expires thirty lord mercy rapper verse put curse authority face adversity shoulder hold much budge never fall fold even collarbone crush crumble never slip stumble shoulder hold much budge never fall fold even collarbone crush crumble never stumble yo left yo left yo left right left yo left yo left yo left right left yo left yo left yo left right left yo left yo left yo left right left,False,24,2002-05-26,The Eminem Show,en,2025
Who Knew,mic check two woulda knew woulda know woulda thought come sell couple million record hit ceiling black music white music make fight music high school kid put life risk drive like put wife risk knife like probably think tape deck back seat truck duct tape stretch ducked way waitin straight jump put mouth grab face want watch mouth take eyeball turn around look burn house circle around hit hydrant put burnin furniture sorry must mix want fix lyric president get suck take drug rape make fun gay club men wear make get aware wake get sense humor quit tryin censor music kid amusement blame little eric jump terrace shoulda watchin apparently parent never knew knew would get big never knew knew affect kid never knew get slit wrist never knew get hit never knew knew would get big never knew knew affect kid never knew get slit wrist never knew get hit bringin gun country sneak plastic pellet gun custom london last week see schwarzenegger movie shootin sort uzi see three little kid front row scream go year old uncle like guidance mom dad mad ask like violence told tape taught em swear make allow year old daughter wear tell son know cuss word bus driver screamin bad first word ever learn third grade flippin gym teacher bird read bout use get beat peed free lunch change school every three month life like kind wife like beat every night ike much easy would life nineteen million grow like never knew knew would get big never knew knew affect kid never knew get slit wrist never knew get hit never knew knew would get big never knew knew affect kid never knew get slit wrist never knew get hit never knew knew new house new car couple year ago poorer bad mouth shooby de doo wop skibbedy bop christopher reef sonny bono ski horse hittin tree many retard listen run school shootin tea cher slim shady damn much damage pen man woulda woulda shoe woulda thought slim shady would somethin woulda bought woulda make get gun shoot cop know never knew knew would get big never knew knew affect kid never knew get slit wrist never knew get hit never knew knew would get big never knew knew affect kid never knew get slit wrist never knew get hit suppose know,False,22,2000-05-23,The Marshall Mathers LP,en,2157
8 Mile: Lotto vs B-Rabbit,yo spit racial slur honky sue horror flick black guy die movie lotto dawg get ta kiddin make believe really interest livin think gon feel well chance joinin kkk real though like wan na commit suicide lotto call leader feel bad get ta murder dude leave beaver use like show fight back mode well get ta go get ta go hate would love last take picture rear end forget well end okay end nice day ward think little hard beaver eddie haskell wally cleaver guy keep screamin paranoid quick someone get another steroid blah badi boo blah bah badi bloo blah hear word hippity hoopla tank top new bra look snoop dogg boobjob listen last round meathead pay attention sayin matter fact dawg pencil go home write make suspenseful come back somethin dope hit take mic home lookin like cyclone hit tank top screamin lotto fit see far white joke get boy like vanilla ice gon dis motto lotto get seven digit mother dollar tomorrow,False,19,2002-09-08,"8 Mile (Battles, Cyphers & Freestyles)",en,912
Baby,thousand different house nchausen make wan na punch ouch hit scream life punch counter bunch anger encounter stranger dumb gown black hoodie scythe laugh face spit give extra life like take get back game take grant take give bull take horn mixture whitey ford mighty thor everlast pen mightier sword finish writin record replenish keep writin nothing ridin pride fightin fight scratch claw back wall catch fall pick back dust jacket grab ball like gargantuan ask bad want pull badge whoopin flash em nobody gon na back corner hornet ignorant four mornin laboratory stormin like nothin important emcee well consider formal warnin girl would body chain told smile every single time saw face finish meant half oil blade nobody want play spoil lil nobody put corner tryna warn ya get mad get throwin tantrum flip ya nobody put corner tryna warn ya get mad get throwin tantrum flip ya go addict brain besides static pain big daddy kane breakbeats word erratic train thought like splatter paint scatter brain maybe explains back rap lookin way thinner hunger lookin like take away dinner sugar ray leonard sugar coat booger though wipe hooker coat goat fling fingertip hope land another rap singer lip think anything wit interest spit yo king english lit middle finger flip hand extendin low go low chuck ho hear bassine voice rocky back adrian nobody crazy shady eighty million mile radius tom brady patriot rap man weapon happen rapper happen crapper happen epiphany bathroom never back appe tite destruction recipe disaster eat famish every deed dastardly evilest bastard even askin po lite people like havin teeth pull nobody put corner tryna warn ya get mad get throwin tantrum flip ya nobody put corner tryna warn ya get mad get throwin tantrum flip ya step inside dimension demented side mind like inside engine multiply undivided attention remind mention lose mind temper first find offensive climbin fence lose time addiction look rhyme dictio nary picture eminem synonym enigma get meatball gon na skip veg potato edumacator legend make spit treacherous data would bad enemy wretched get mix treach jada combine em method man redman metham phetamines left hand right sledgehammer pajama standin front webcam beatin head til russell def jam maybe need head exam ed hannibal lecter dead lamb hangin ceiling drippin bed pan need med swear god go edge talkin ledge man heart throb fart ah nah like smart slob part blob stab sharp ob ject heart leave claw mark wal mart wall little large ball mud slingin blood flingin nothing earth well bein king playground hate swing love bein underdog push end swingin nobody put corner tryna warn ya get mad get throwin tantrum flip ya nobody put corner tryna warn ya get mad get throwin tantrum flip ya,False,26,2013-11-05,The Marshall Mathers LP2 (Deluxe),en,2740
No Regrets,know chance change dope screamin regret hardest spot ego large make star movin slowly tryna play low vette look like storm put dumb thinkin run feel alone like lose like miss old think want od codeine want life turmoil like want front row seat give em nosebleed want implode explode self loathe erode scream em regret hulk rippin clothing go see doc like kool moe dee never take much convince dre never swayed color skin shade since day hellraiser twin blade sensei givin comprende tin brain prolly membrane slim sha mind gutter insane pen game like struck tenth frame live edge sit ledge head bench forgive forget thing ever live regret hell bent revenge left dead crawl grave well ready set enemy put end yet hardest spot ego large make star movin slowly tryna play low vette look like storm put dumb thinkin run feel alone like lose hate tell exactly stem happen huh use corner back innocent bystander bound hit adversary carry big gun target get kill shot barely nicked em make mistake erupt end takin dump sayin dumb thinkin run misplacin anger enough give earl tyler creator brunt shoulda never make response shoulda aim fake traitorous punk snake get eight hundred vibrator may come close dyin listen arose without cryin feel low like bout spiralin inspirin weapon never unholstered without firin imposin foe gon na feel like throe mountain lion talk daughter hopin fly handle first thought trample write thousand bar sometimes like drop anvil house card godzilla squashin crouton combat boot droppin goddamn nuke bomb top anthill nah hardest spot ego large make star movin slowly tryna play low vette look like storm put dumb thinkin run feel alone like lose like,False,11,2020-01-17,Music to Be Murdered By,en,1671
Insane,born brain head stepfather suck bed til night snuck go back want suck shed play teddy ruxpin instead butt get head bust nut get rest next day mother know kid bastard even eat nothing fed hung bedroom dead debbie fucker get upset go stick cigarette neck bet fakin bet bet probably want see upset would get go handle course unless object aw go brain left head could count skeleton closet bed faucet would know completely lose nut insane could count skeleton closet bed faucet would know completely lose nut insane get naw fucker try bite face chase chainsaw take chainsaw bit blade ate blade stuck baseball slingshot aim face thing pop take eye picked played ping pong played ping pong ding dong nut like king kong set lawnmower dang lawn laid underneath thing take pant take every thing everything except tank top training bra raw maniac shady dawg man gangsta dawg shady dawg goin brain waitin sing along could count skeleton closet bed faucet would know completely lose nut insane could count skeleton closet bed faucet would know completely lose nut insane know felch mean well tell would rather get felched felching em suck cum belching burp belch go back second help dig man smell want feel like stepfather felt little puppy kick puppy yelp shady know help happen think melt marshall love boy care well dad need help pee big boy see get naked babysitter tell show movie like nightmare elm street x call pubic hair chelsea well call rape shoot jail scene could count skeleton closet bed faucet would know completely lose nut insane could count skeleton closet bed faucet would know completely lose nut insane,False,14,2009-05-15,Relapse,en,1611
8 Mile: Lyckety-Splyt vs B-Rabbit,guy choke artist catch bad well shoot papa doc handgun climb mountain weak leave lose without paddle float creek detroit new kid block bout get smack back boondocks nazi squad type take real advice form group vanilla ice tell well use guy hillbilly willie nelson music trailer trash choke last breath look foolish like cheddar bob shot silly rabbit know call follow future like carrot crack act jacked left stupid like tina turner smack crack shoulder blade get drop hard elvis start turn grave know dark need take white back across mile trailer park guy rap like parent jerked sound like erick sermon generic version whole crowd look suspicious dude except german eh okay look like worm braid leader free world rookie lookie six talkin bout creek could creek paddle deep still gon na sink disgrace call rabbit turtle race get spit wickedly lickety shot suspicious spickety split lickety turn around great smile walk white back across mile,False,20,2002-09-08,"8 Mile (Battles, Cyphers & Freestyles)",en,939
